Date,Open,High,Low,Close,Adj Close,Volume
02/12/2002,0.28392899,0.287499994,0.268036008,0.271070987,0.22866112,398742400
03/12/2002,0.271429002,0.273929,0.269643009,0.270714015,0.228360057,227869600
04/12/2002,0.271070987,0.27125001,0.258929014,0.267320991,0.225497931,325757600
05/12/2002,0.26839301,0.269286007,0.259463996,0.261249989,0.2203767,243398400
06/12/2002,0.261606991,0.27125001,0.259285986,0.266963989,0.225196704,245358400
09/12/2002,0.266786009,0.266963989,0.261963993,0.263393015,0.222184435,236084800
10/12/2002,0.263393015,0.275893003,0.263036013,0.27285701,0.230167761,308610400
11/12/2002,0.273214012,0.276607007,0.269286007,0.276607007,0.23333101,253500800
12/12/2002,0.276964009,0.277678996,0.268036008,0.27125001,0.228812143,149340800
13/12/2002,0.270357013,0.270536005,0.261606991,0.264106989,0.22278662,164780000
16/12/2002,0.264463991,0.269643009,0.260892987,0.265179008,0.223691031,251624800
17/12/2002,0.265179008,0.27125001,0.261786014,0.269286007,0.227155417,222661600
18/12/2002,0.264286011,0.265356988,0.258929014,0.260179013,0.219473302,150701600
19/12/2002,0.259463996,0.266429007,0.251785994,0.253571004,0.213899136,347519200
20/12/2002,0.255178988,0.25999999,0.246070996,0.252499998,0.212995678,318096800
23/12/2002,0.252857,0.259820998,0.252142996,0.258749992,0.218267843,125826400
24/12/2002,0.257856995,0.25839299,0.255356997,0.256428987,0.216309905,39340000
26/12/2002,0.257499993,0.264463991,0.254999995,0.257142991,0.21691227,85422400
27/12/2002,0.25553599,0.256785989,0.250178993,0.251071006,0.211790234,80035200
30/12/2002,0.251428992,0.25267899,0.247143,0.251249999,0.211941198,155041600
31/12/2002,0.25,0.256428987,0.249107003,0.255892992,0.215857834,200726400
02/01/2003,0.256428987,0.266429007,0.256249994,0.264286011,0.222937733,181428800
03/01/2003,0.264286011,0.266606987,0.260535985,0.266070992,0.224443451,147453600
06/01/2003,0.26839301,0.274643004,0.26571399,0.266070992,0.224443451,390532800
07/01/2003,0.264106989,0.267856985,0.25839299,0.265179008,0.223691031,342344800
08/01/2003,0.260356992,0.262679011,0.257856995,0.259820998,0.219171226,229644800
09/01/2003,0.261070997,0.266429007,0.258929014,0.262142986,0.221129984,215252800
10/01/2003,0.260356992,0.264643013,0.258749992,0.26285699,0.221732274,175100800
13/01/2003,0.266070992,0.266070992,0.256428987,0.261249989,0.2203767,178942400
14/01/2003,0.262320995,0.264643013,0.258749992,0.260892987,0.220075577,186860800
15/01/2003,0.260535985,0.262499988,0.254642993,0.257678986,0.217364341,371128800
16/01/2003,0.253749996,0.263570994,0.253749996,0.261070997,0.220225662,559070400
17/01/2003,0.25999999,0.25999999,0.251428992,0.251785994,0.212393403,266761600
21/01/2003,0.253749996,0.257321,0.25,0.250357002,0.211187959,253456000
22/01/2003,0.249642998,0.25267899,0.246428996,0.247857004,0.209079072,215140800
